id	s3key	modified	bytes	mtime	tags	etag	sha2_256	sha3_256	present
10067	corpora/mobile/android_10/Android_10.txt	2022-09-27 16:58:02	1900	2020-11-22 03:10:19		"""830f99253657dfa5963363e5940f3378"""	613593d27739091f704f345191a13428b594f4c1bfc844f7e68aa65b6aabede3	727f67f34c30e476612b7ae185221591e17c2c3f84aa244a701f414f561fbf83	1
9787	corpora/mobile/android_10/Android_10.zip	2022-09-27 16:58:02	10476724716	2020-11-22 03:10:20		"""18858111f6f548aef5a832a5366067a7-1249"""	fc123698689dfeed275cfe86b4a1ea8ba9dca0256fe59388b8a59590a3eff5bb	9a39319c1114a50bd46dfdd2ae7b5abe73db418d765c1ef0c29cb64e5d414558	1
10066	corpora/mobile/android_10/Android10-ImageCreation.pdf	2022-09-27 16:58:02	2479876	2020-11-22 03:10:19		"""4bfdc7def6c09e39a67a87fefeac91f7"""	6da8e5198fb0f613eea014d91fd57313dc47ffbaf4fab9cde1a065c81690610c	31814d3d0be43f935cfb0d0ce1a7bb1607f2bd787b54170255a150acffc17283	1
10444	corpora/mobile/android_10/Cellebrite Extraction/Google_G013A Pixel 3.ufd	2022-09-27 16:58:03	211768	2020-11-22 03:10:20		"""c6f52d360b8024ba218050d50fd3fc4e"""	cbcc2624170347515cd1d0daac2c0d5d49fb2ee8bec08ff57e1b4f13d0c1a641	250df5e81a448f6395f9579aa0aba316e46eaf0e57d7e16ba78f94bd03f62f51	1
10462	corpora/mobile/android_10/Cellebrite Extraction/Google_G013A Pixel 3.z01	2022-09-27 16:58:03	1073741824	2020-11-22 03:10:20		"""9e9eb4e8f840183b9054ae9ecc7a1103-128"""	d1b6a233d67ba1022feab914796ee0864f14868e4b1adfffeab31bb04e887f1e	ae8fd0c0dcd4e4d433104edf3a3976f0209acd8705bf8ddf6783f4b6992a7bd3	1
7213	corpora/mobile/android_10/Cellebrite Extraction/Google_G013A Pixel 3.z02	2022-09-27 16:58:03	1073741824	2020-11-22 03:10:20		"""22c53b6c7f273b6bf24ff68b3f180c99-128"""	82e59a968ef3cc51e61e0ebaf3cbbce11827b12a92b8abf30a68d5b591e02a0d	b32875e95a3376644816ec7983a63b5a6e2e0389878059a577686fcdea2dc2c6	1
10497	corpora/mobile/android_10/Cellebrite Extraction/Google_G013A Pixel 3.z03	2022-09-27 16:58:03	1073741824	2020-11-22 03:10:22		"""72b646a2137b9bed7b02353b7dc1640f-128"""	5dc14cbd8d7745361816404680b8a3f9ce9d934318ea092712308f2f6936cf06	d0a0dc7eeb5cad8c9f530b12d8be668397c7f76e033781c7342ffc936747d3b6	1
10373	corpora/mobile/android_10/Cellebrite Extraction/Google_G013A Pixel 3.z04	2022-09-27 16:58:03	1073741824	2020-11-22 03:10:41		"""94e70caded580c521bc86fdaf4bdbd19-128"""	a0d51333f3f2775647b08fa9e08551d7daa27d223a53dcf95f6a789646f1586b	81477948ff24a5bd2681e02534a33371cff5dc067e8f2a96f0c7338c5d487dc4	1
10498	corpora/mobile/android_10/Cellebrite Extraction/Google_G013A Pixel 3.z05	2022-09-27 16:58:03	1073741824	2020-11-22 03:12:12		"""46aeb72daa1966d64397db9a2d43c9e8-128"""	395db9eac18d868482e98b7d0e313f726ce0f6c16bf71b341df70b50a1671563	56623cbc8cb84a9113bd5be94d962eaf0b38a8a33a00ce16366c4b1fe62070ea	1
10504	corpora/mobile/android_10/Cellebrite Extraction/Google_G013A Pixel 3.z06	2022-09-27 16:58:03	1073741824	2020-11-22 03:12:13		"""d46e9291034174ed6e49ff7c34143278-128"""	5d1c3bf9c95923cc2f4ea98921f720f32510aae1753a132ee4867426f8e49730	7f888a19e6efe43981c5aa109f1255535bf481bcff8ff7a1a6665aa0981369db	1
10515	corpora/mobile/android_10/Cellebrite Extraction/Google_G013A Pixel 3.z07	2022-09-27 16:58:04	1073741824	2020-11-22 03:12:13		"""7e439bffcf115df294cda869a6ca0bc5-128"""	3dba6d8083d5d7f56044a60bcfcb820b7edf4027a7b0acfbd4e29ea3cb18b78a	1e4446f1b16acd8ca7886efe3cb2520eea1fd149a525625062557c20b5ac1bf5	1
10528	corpora/mobile/android_10/Cellebrite Extraction/Google_G013A Pixel 3.z08	2022-09-27 16:58:04	1073741824	2020-11-22 03:12:38		"""9c075c493d63b0555f4c2487b5a9c8b3-128"""	721c65557617004a9846817432ee210eade34659e5c617869b59b3fc08619675	4dbc003bb80aeb1c5ee61491bcb245c7f077a7f85fa4fa1325064556e173a4dd	1
10556	corpora/mobile/android_10/Cellebrite Extraction/Google_G013A Pixel 3.zip	2022-09-27 16:58:04	431146947	2020-11-22 03:14:10		"""a55b8d5c84ec7c6dfc3ddc3f90430fca-52"""	ba74bdb0074348ab9d9305319bd0140c468bfe3c077a44911c31c8555a0b83be	86cb727207e6836d90dfd3cf4ec0be68e94644efa97ec1e5e91a298ec93646d6	1
